Entity,Project Id,Project Title English,Project description English,Project Title Arabic,Project Description Arabic,Project Logo URL (SVG)
Ministry of Municipality and Environment,43,Request Building Maintenance Permit,This project is to validate the Request Building Maintenance Permit E-service  against  E-service framework.,طلب تصريح صيانة المباني,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لطلب تصريح صيانة المباني مقابل إطار الخدمة الإلكترونية.,
Ministry of Education and Higher Education,15,Ministry of Education and Higher Education,This project is to validate the EDUwebsite against website framework.,وزارة التربية والتعليم العالي,يهدف هذا المشروع إلى التحقق من صحة موقع EDU مقابل إطار عمل موقع الويب.,
Ministry of Education and Higher Education,52,Request Attestation of Educational Certificate,This project is to validate the Request Attestation of Educational Certificate E-service  against  E-service framework.,طلب تصديق الشهادة التعليمية,يهدف هذا المشروع إلى التحقق من صحة طلب التصديق على الخدمة الإلكترونية للشهادة التعليمية مقابل إطار الخدمة الإلكترونية.,
Ministry of Education and Higher Education,56,Certificate and Documents Issuing,This project is to validate the Certificate and Documents Issuing E-service  against  E-service framework.,إصدار الشهادات والوثائق,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لإصدار الشهادات والوثائق مقابل إطار عمل الخدمة الإلكترونية.,
Ministry of Education and Higher Education,55,Register New Students in Government Schools,This project is to validate the Register New Students in Government Schools E-service  against  E-service framework.,تسجيل الطلاب الجدد في المدارس الحكومية,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لتسجيل الطلاب الجدد في المدارس الحكومية مقابل إطار الخدمة الإلكترونية.,
Ministry of Education and Higher Education,54,University Certificate Equivalency Request,This project is to validate the University Certificate Equivalency Request E-service  against  E-service framework.,طلب معادلة الشهادة الجامعية,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لطلب معادلة الشهادة الجامعية مقابل إطار الخدمة الإلكترونية.,
Ministry of Education and Higher Education,58,Transfer Student from Independent School to Another,This project is to validate the Transfer Student from Independent School to Another E-service  against  E-service framework.,"تحويل الطالب من مدرسة مستقلة إلى أخرى",يهدف هذا المشروع إلى التحقق من صحة نقل الطالب من مدرسة مستقلة إلى خدمة إلكترونية أخرى مقابل إطار عمل الخدمة الإلكترونية.,
Ministry of Education and Higher Education,57,Buses and registration Fees Payment ,This project is to validate the Buses and registration Fees Payment E-service  against  E-service framework.,دفع رسوم الحافلات والتسجيل,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لدفع رسوم الحافلات والتسجيل مقابل إطار الخدمة الإلكترونية.,
Ministry of Education and Higher Education,53,Verify Educational Certificate,This project is to validate the Verify Educational Certificate E-service  against  E-service framework.,التحقق من الشهادة التعليمية,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لشهادة التحقق التعليمية مقابل إطار الخدمة الإلكترونية.,
Supreme Judiciary Council,20,Al Mahakem Mobile App,This project is to validate the Al Mahakem Mobile App   against  Mobile App framework.,تطبيق المحكم للهواتف,يهدف هذا المشروع إلى التحقق من صحة تطبيق Al Mahakem Mobile في مقابل إطار عمل تطبيق الجوال.,
Supreme Judiciary Council,51,Copy from the file - Criminal Case ,This project is to validate the Copy from the file - Criminal Case E-service  against  E-service framework.,نسخة من الملف - الدعوى الجنائية,يهدف هذا المشروع إلى التحقق من صحة النسخة من الملف - خدمة الدعوى الجنائية الإلكترونية مقابل إطار الخدمة الإلكترونية.,
Supreme Judiciary Council,50,General Request,This project is to validate the General Request E-service  against  E-service framework.,طلب عام,يهدف هذا المشروع إلى التحقق من صحة الطلب العام للخدمة الإلكترونية مقابل إطار الخدمة الإلكترونية.,
Supreme Judiciary Council,49,Service: Registration of an appeal case (civil - court),This project is to validate the تسجيل دعوى استئناف( مدنى - حنائى) E-service  against  E-service framework.,الخدمة: تسجيل دعوى استئناف (مدنى - حنائى),يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لتسجيل دعوى استئناف (استئناف - حنائى) مقابل إطار عمل الخدمة الإلكترونية.,
The General Retirement and Social Insurance Authority,27,Calculate Pension Salary,This project is to validate the Calculate Pension Salary E-service  against  E-service framework.,حساب راتب المعاش,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لحساب راتب التقاعد مقابل إطار الخدمة الإلكترونية.,
Ministry of Transport & Communication,25,Request to Renew Health Card,This project is to validate the Request to Renew Health Card E-service  against  E-service framework.,طلب تجديد البطاقة الصحية,يهدف هذا المشروع إلى التحقق من صحة طلب تجديد الخدمة الإلكترونية للبطاقة الصحية مقابل إطار الخدمة الإلكترونية.,
Ministry of Transport & Communication,26,Zakat Fund E-Service,This project is to validate the Zakat Fund  E-service  against  E-service framework.,خدمة صندوق الزكاة الإلكترونية,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية لصندوق الزكاة مقابل إطار الخدمة الإلكترونية.,
Ministry of Commerce and Industry,13,Ministry of Commerce and Industry,This project is to validate the MOCI  website against website framework.,وزارة التجارة والصناعة,يهدف هذا المشروع إلى التحقق من صحة موقع وزارة التجارة والصناعة مقابل إطار عمل الموقع.,
Ministry of Commerce and Industry,34,MOCI Mobile App,This project is to validate the MOCI Mobile App   against  Mobile App framework.,تطبيق الجوال وزارة التجارة والصناعة,يهدف هذا المشروع إلى التحقق من صحة تطبيق MOCI Mobile مقابل إطار عمل تطبيق الجوال.,
Ministry of Commerce and Industry,48,Single Window: Comprehansive Establishment,This project is to validate the Single Window: Comprehansive Establishment E-service  against  E-service framework.,النافذة الواحدة: المؤسسة الشاملة,يهدف هذا المشروع إلى التحقق من صحة النافذة الواحدة: الخدمة الإلكترونية للمنشأة الشاملة مقابل إطار عمل الخدمة الإلكترونية.,
Ministry of Justice,35,SAK Mobile App,This project is to validate the SAK Mobile App  against  Mobile App framework.,"تطبيق 
",يهدف هذا المشروع إلى التحقق من صحة تطبيق SAK Mobile مقابل إطار عمل تطبيق الجوال.,
Ministry of Justice,46,Abrogate Contract,This project is to validate theAbrogate Contract E-service against  E-service framework.,فسخ العقد,يهدف هذا المشروع إلى التحقق من صحة الخدمة الإلكترونية للعقد الوسيط مقابل إطار عمل الخدمة الإلكترونية.,
Ministry of Justice,47,Selling Real Estate Services,This project is to validate the Selling Real Estate ServicesE-service  against  E-service framework.,بيع الخدمات العقارية,يهدف هذا المشروع إلى التحقق من صحة خدمة بيع الخدمات العقارية مقابل إطار الخدمة الإلكترونية.,
Ministry of Interior,37,Ehteraz- Mobile App,This project is to validate the Ehteraz Mobile App against  Mobile App framework.,تطبيق جوال,يهدف هذا المشروع إلى التحقق من صحة تطبيق Ehteraz Mobile مقابل إطار عمل تطبيق الجوال.,
Ministry of Interior,18,Ministry of Interior,This project is to validate the MOI  website against website framework.,وزارة الداخلية,يهدف هذا المشروع إلى التحقق من صحة موقع وزارة الداخلية مقابل إطار عمل الموقع.,
